id;title;description;reward;expires_on;review_start_date;max_applicants;assignee;status;private_notes
1;Wooden;white;optical Handcrafted;2022-02-08;2022-02-08;22664;Belarussian USB Buckinghamshire;OPEN;withdrawal Producer Avon
2;Field Tasty Gloves;Sleek Organic Michigan;Account Identity Computers;2022-02-08;2022-02-08;25573;methodologies Philippines Avon;INREVIEW;Fantastic
3;Islands;drive Virginia Salad;Open-architected Handcrafted;2022-02-08;2022-02-08;39107;uniform parse;CLAIMED;deposit
4;structure Pizza Direct;Games Configurable Licensed;quantify quantifying Granite;2022-02-07;2022-02-08;34354;Licensed;INREVIEW;Loan
5;system Handcrafted partnerships;cultivate Reunion programming;Maine Ruble;2022-02-08;2022-02-08;94556;archive Dollar;INREVIEW;Parkway Wooden Credit
6;disintermediate;withdrawal AI input;Accountability ivory Producer;2022-02-08;2022-02-08;43643;Incredible Auto International;CLOSED;Executive
7;back Chair reboot;repurpose black;generating;2022-02-08;2022-02-07;54412;neural;CLOSED;panel Savings
8;Buckinghamshire alarm;hub Checking Rico;Data non-volatile;2022-02-08;2022-02-08;72101;payment toolset Tools;INREVIEW;quantify Generic Knoll
9;hack;Colombian Idaho Hat;value-added Representative;2022-02-07;2022-02-08;83856;Gorgeous multi-byte Auto;OPEN;bus
10;Representative;reinvent;Baby Borders;2022-02-08;2022-02-08;67493;Borders Forward;CLAIMED;Nebraska
